episode,timestep,reward
1973,2550000,191.1292
1975,2553000,248.9309
1977,2556000,240.1729
1980,2559000,117.788
1982,2562000,166.2885
1986,2565000,123.5256
1988,2568000,192.1182
1990,2571000,251.0529
1992,2574000,246.342
1994,2577000,242.1503
1996,2580000,268.9151
1998,2583000,252.3685
2000,2586000,236.7183
2002,2589000,252.7054
2004,2592000,205.1761
2006,2595000,248.9804
2008,2598000,58.7333
2013,2601000,75.6047
2016,2604000,104.9074
2018,2607000,149.9873
2020,2610000,240.0318
2022,2613000,264.1846
2025,2616000,152.3218
2028,2619000,94.9147
2030,2622000,269.483
2032,2625000,258.316
2034,2628000,54.7039
2037,2631000,198.5497
2039,2634000,247.845
2043,2637000,51.516
2045,2640000,218.8924
2048,2643000,90.999
2050,2646000,248.1724
2052,2649000,241.2645
2054,2652000,245.5799
2056,2655000,46.813
2059,2658000,164.2119
2061,2661000,150.2876
2064,2664000,147.9949
2066,2667000,254.113
2068,2670000,253.3303
2071,2673000,173.9501
2073,2676000,92.4138
2076,2679000,151.0637
2079,2682000,125.0028
2082,2685000,75.7482
2084,2688000,180.9514
2086,2691000,164.9539
2088,2694000,244.3701
2091,2697000,198.9769
2095,2700000,37.4732
2097,2703000,264.0032
2099,2706000,115.7343
2102,2709000,148.125
2105,2712000,185.8973
2107,2715000,140.0395
2109,2718000,248.9902
2112,2721000,163.7977
2114,2724000,182.976
2116,2727000,124.7893
2119,2730000,153.7183
2123,2733000,42.957
2126,2736000,204.3511
2128,2739000,168.8744
2130,2742000,254.8729
2133,2745000,39.3682
2136,2748000,200.0524
2138,2751000,108.2159
2141,2754000,129.9197
2143,2757000,184.1804
2146,2760000,114.513
2148,2763000,251.554
2150,2766000,86.7297
2152,2769000,206.4788
2155,2772000,166.432
2158,2775000,129.6545
2160,2778000,152.0955
2162,2781000,246.1245
2165,2784000,123.2275
2168,2787000,112.383
2170,2790000,247.6778
2172,2793000,253.4051
2174,2796000,245.3906
2176,2799000,267.1001
2178,2802000,66.6218
2180,2805000,248.0013
2184,2808000,109.9869
2186,2811000,252.2706
2188,2814000,166.7006
2191,2817000,135.8537
2194,2820000,112.505
2196,2823000,269.5001
2198,2826000,254.5144
2200,2829000,233.3819
2202,2832000,253.639
2204,2835000,108.8985
2206,2838000,258.4629
2208,2841000,257.5072
2212,2844000,105.4004
2214,2847000,132.6362
2216,2850000,252.9858
2220,2853000,128.4143
2222,2856000,228.0502
2225,2859000,111.6443
2228,2862000,54.9719
2231,2865000,118.9193
2233,2868000,199.2467
2236,2871000,58.8054
2239,2874000,148.0368
2241,2877000,267.3521
2243,2880000,238.0456
2245,2883000,251.4255
2247,2886000,264.9605
2249,2889000,255.3048
2251,2892000,251.4011
2253,2895000,122.3555
2255,2898000,180.5325
2257,2901000,243.5645
2259,2904000,268.8228
2263,2907000,113.932
2265,2910000,180.2494
2267,2913000,256.9772
2269,2916000,259.0473
2271,2919000,145.6754
2274,2922000,168.5776
2276,2925000,199.5173
2279,2928000,106.0397
2283,2931000,58.9227
2286,2934000,175.2545
2288,2937000,272.9431
2290,2940000,154.6177
2293,2943000,111.2705
2295,2946000,150.2157
2299,2949000,109.4786
2301,2952000,261.2015
2304,2955000,125.3272
2307,2958000,48.9254
2310,2961000,76.6141
2312,2964000,174.6569
2315,2967000,144.3788
2317,2970000,276.5406
2319,2973000,258.071
2321,2976000,146.5009
2325,2979000,92.0969
2328,2982000,86.6092
2331,2985000,119.4345
2334,2988000,98.176
2337,2991000,149.7931
2339,2994000,125.0447
2342,2997000,159.1177
2345,3000000,156.2365
